100 2321753 1000110110110101011001
R-0 P-1 D-0 M-0
R-0 P-2 D-0 M-0
R-0 P-3 D-0 M-0
R-1 P-1 D-6 M-6
R-1 P-1 D-3 M-9
R-1 P-2 D-5 M-5
R-1 P-3 D-4 M-4
R-2 P-1 D-5 M-14
R-2 P-2 D-4 M-9
R-2 P-3 D-1 M-5
R-3 P-1 D-3 M-17
R-3 P-2 D-5 M-14
R-3 P-3 D-5 M-10
R-4 P-1 D-4 M-21
R-4 P-1 S-10 M-11
R-4 P-2 D-6 M-20
R-4 P-2 D-5 M-25
R-4 P-3 D-5 M-15
R-5 P-1 D-4 M-15
R-5 P-2 D-3 M-28
R-5 P-3 D-6 M-21
R-5 P-3 S-10 M-11
R-5 P-3 D-3 M-14
R-6 P-1 D-3 M-18
R-6 P-2 D-2 M-30
R-6 P-2 L-22 M-52
R-6 P-3 D-2 M-16
R-7 P-1 D-3 M-21
R-7 P-1 S-10 M-11
R-7 P-2 D-5 M-57
R-7 P-3 D-2 M-18
R-8 P-1 D-1 M-12
R-8 P-2 D-6 M-63
R-8 P-2 D-4 M-67
R-8 P-3 D-6 M-24
R-8 P-3 D-1 M-25
R-9 P-1 D-1 M-13
R-9 P-2 D-1 M-68
R-9 P-3 D-4 M-29
R-10 P-1 D-1 M-14
R-10 P-2 D-2 M-70
R-10 P-3 D-6 M-35
R-10 P-3 D-2 M-37
R-11 P-1 D-4 M-18
R-11 P-2 D-3 M-73
R-11 P-2 L-12 M-85
R-11 P-3 D-3 M-40
R-12 P-1 D-5 M-23
R-12 P-2 D-6 M-91
R-12 P-2 D-4 M-95
R-12 P-3 D-4 M-44
R-12 P-3 S-2 M-42
R-13 P-1 D-3 M-26
R-13 P-2 D-1 M-96
R-13 P-3 D-6 M-48
R-13 P-3 D-3 M-51
R-14 P-1 D-4 M-30
R-14 P-1 L-22 M-52
R-13 P-2 D-1 M-96
R-14 P-3 D-2 M-53
R-15 P-1 D-4 M-56
R-13 P-2 D-1 M-96
R-15 P-2 D-3 M-99
R-15 P-2 S-25 M-74
R-15 P-3 D-5 M-58
R-16 P-1 D-4 M-60
R-16 P-2 D-6 M-80
R-16 P-2 D-1 M-81
R-16 P-3 D-6 M-64
R-16 P-3 D-4 M-68
R-17 P-1 D-1 M-61
R-17 P-2 D-3 M-84
R-17 P-3 D-1 M-69
R-18 P-1 D-1 M-62
R-18 P-2 D-6 M-90
R-18 P-2 D-1 M-91
R-18 P-3 D-5 M-74
R-19 P-1 D-1 M-63
R-19 P-2 D-2 M-93
R-19 P-3 D-6 M-80
R-19 P-3 D-6 M-86
R-19 P-3 D-5 M-91
R-20 P-1 D-4 M-67
R-20 P-2 D-2 M-95
R-20 P-3 D-5 M-96
R-21 P-1 D-4 M-71
R-20 P-2 D-2 M-95
R-21 P-2 D-2 M-97
R-21 P-3 D-3 M-99
R-21 P-3 S-25 M-74
R-22 P-1 D-6 M-77
R-22 P-1 D-5 M-82
R-22 P-1 L-15 M-97
R-22 P-2 D-3 M-100
wP-2

100
R-0 P-1 D-0 M-0
R-0 P-2 D-0 M-0
R-0 P-3 D-0 M-0
R-0 P-4 D-0 M-0
R-0 P-5 D-0 M-0
R-0 P-6 D-0 M-0
R-1 P-1 D-2 M-2
R-1 P-2 D-1 M-1
R-1 P-3 D-4 M-4
R-1 P-4 D-4 M-4
R-1 P-5 D-3 M-3
R-1 P-6 D-2 M-2
R-2 P-1 D-1 M-3
R-2 P-2 D-5 M-6
R-2 P-3 D-3 M-7
R-2 P-4 D-4 M-8
R-2 P-5 D-5 M-8
R-2 P-6 D-2 M-4
R-3 P-1 D-3 M-6
R-3 P-2 D-3 M-9
R-3 P-3 D-6 M-13
R-3 P-3 D-4 M-17
R-3 P-4 D-6 M-14
R-3 P-4 D-6 M-20
R-3 P-4 D-2 M-22
R-3 P-5 D-5 M-13
R-3 P-6 D-1 M-5
R-4 P-1 D-3 M-9
R-4 P-2 D-3 M-12
R-4 P-3 D-5 M-22
R-4 P-4 D-3 M-25
R-4 P-5 D-5 M-18
R-4 P-6 D-5 M-10
R-5 P-1 D-4 M-13
R-5 P-2 D-3 M-15
R-5 P-3 D-2 M-24
R-5 P-4 D-5 M-30
R-5 P-4 L-22 M-52
R-5 P-5 D-2 M-20
R-5 P-6 D-2 M-12
R-6 P-1 D-5 M-18
R-6 P-2 D-4 M-19
R-6 P-3 D-3 M-27
R-6 P-4 D-3 M-55
R-6 P-4 S-26 M-29
R-6 P-5 D-1 M-21
R-6 P-5 S-10 M-11
R-6 P-6 D-5 M-17
R-7 P-1 D-2 M-20
R-7 P-2 D-4 M-23
R-7 P-3 D-2 M-29
R-7 P-4 D-1 M-30
R-7 P-4 L-22 M-52
R-7 P-5 D-5 M-16
R-7 P-6 D-1 M-18
R-8 P-1 D-5 M-25
R-8 P-2 D-2 M-25
R-8 P-3 D-6 M-35
R-8 P-3 D-3 M-38
R-8 P-4 D-6 M-58
R-8 P-4 D-1 M-59
R-8 P-5 D-2 M-18
R-8 P-6 D-5 M-23
R-9 P-1 D-2 M-27
R-9 P-2 D-5 M-30
