100 2321753 1000110110110101011001000
R-0 P-1 D-0 M-0
R-0 P-2 D-0 M-0
R-0 P-3 D-0 M-0
R-1 P-1 D-2 M-2
R-1 P-2 D-4 M-4
R-1 P-3 D-1 M-1
R-1 P-3 L-10 M-11
R-2 P-1 D-1 M-3
R-2 P-2 D-4 M-8
R-2 P-3 D-4 M-15
R-2 P-3 S-13 M-2
R-3 P-1 D-1 M-4
R-3 P-2 D-3 M-11
R-3 P-3 D-6 M-8
R-3 P-3 D-6 M-14
R-3 P-3 D-5 M-19
R-4 P-1 D-1 M-5
R-4 P-2 D-1 M-12
R-4 P-3 D-4 M-23
R-4 P-3 S-5 M-18
R-5 P-1 D-1 M-6
R-5 P-1 L-12 M-18
R-5 P-2 D-3 M-15
R-5 P-2 S-13 M-2
R-5 P-3 D-4 M-22
R-5 P-3 L-19 M-41
R-6 P-1 D-2 M-20
R-6 P-1 S-10 M-10
R-6 P-2 D-2 M-4
R-6 P-3 D-1 M-42
R-7 P-1 D-6 M-16
R-7 P-1 D-6 M-22
R-7 P-1 L-19 M-41
R-7 P-1 D-4 M-45
R-7 P-2 D-4 M-8
R-7 P-3 D-4 M-46
R-8 P-1 D-4 M-49
R-8 P-1 S-13 M-36
R-8 P-2 D-2 M-10
R-8 P-3 D-1 M-47
R-9 P-1 D-3 M-39
R-9 P-2 D-3 M-13
R-9 P-3 D-1 M-48
R-10 P-1 D-2 M-41
R-10 P-2 D-5 M-18
R-10 P-3 D-6 M-54
R-10 P-3 S-30 M-24
R-10 P-3 D-5 M-29
R-11 P-1 D-5 M-46
R-11 P-2 D-6 M-24
R-11 P-2 D-4 M-28
R-11 P-3 D-5 M-34
R-12 P-1 D-2 M-48
R-12 P-2 D-1 M-29
R-12 P-3 D-6 M-40
R-12 P-3 L-35 M-75
R-12 P-3 D-5 M-80
R-13 P-1 D-4 M-52
R-13 P-1 L-11 M-63
R-13 P-2 D-2 M-31
R-13 P-2 L-12 M-43
R-13 P-3 D-4 M-84
R-13 P-3 S-34 M-50
R-14 P-1 D-3 M-66
R-14 P-2 D-5 M-48
R-14 P-3 D-2 M-52
R-14 P-3 L-11 M-63
R-15 P-1 D-3 M-69
R-15 P-2 D-2 M-50
R-15 P-3 D-6 M-69
R-15 P-3 D-2 M-71
R-16 P-1 D-2 M-71
R-16 P-2 D-6 M-56
R-16 P-2 D-2 M-58
R-16 P-3 D-4 M-75
R-16 P-3 S-15 M-60
R-17 P-1 D-6 M-77
R-17 P-1 D-1 M-78
R-17 P-1 S-38 M-40
R-17 P-2 D-4 M-62
R-17 P-3 D-5 M-65
R-18 P-1 D-4 M-44
R-18 P-2 D-4 M-66
R-18 P-3 D-6 M-71
R-18 P-3 D-2 M-73
R-19 P-1 D-1 M-45
R-19 P-2 D-4 M-70
R-19 P-3 D-4 M-77
R-20 P-1 D-1 M-46
R-20 P-2 D-5 M-75
R-20 P-2 S-15 M-60
R-20 P-3 D-4 M-81
R-21 P-1 D-6 M-52
R-21 P-1 L-11 M-63
R-21 P-1 D-3 M-66
R-21 P-2 D-1 M-61
R-21 P-3 D-1 M-82
R-22 P-1 D-2 M-68
R-22 P-2 D-1 M-62
R-22 P-3 D-2 M-84
R-22 P-3 S-34 M-50
R-23 P-1 D-5 M-73
R-23 P-2 D-1 M-63
R-23 P-3 D-4 M-54
R-23 P-3 S-30 M-24
R-24 P-1 D-3 M-76
R-24 P-2 D-3 M-66
R-24 P-3 D-2 M-26
R-25 P-1 D-3 M-79
R-25 P-2 D-1 M-67
R-25 P-3 D-2 M-28
R-26 P-1 D-4 M-83
R-26 P-2 D-4 M-71
R-26 P-3 D-6 M-34
R-26 P-3 D-6 M-40
R-26 P-3 L-35 M-75
R-26 P-3 D-1 M-76
R-27 P-1 D-6 M-89
R-27 P-1 L-9 M-98
R-27 P-1 L-9 M-98
R-27 P-1 L-9 M-98
R-27 P-1 D-1 M-99
R-27 P-2 D-3 M-74
R-27 P-3 D-6 M-82
R-27 P-3 D-1 M-83
R-27 P-1 D-1 M-99
R-28 P-2 D-3 M-77
R-28 P-3 D-4 M-87
R-27 P-1 D-1 M-99
R-29 P-2 D-4 M-81
R-29 P-3 D-1 M-88
R-27 P-1 D-1 M-99
R-30 P-2 D-2 M-83
R-30 P-3 D-1 M-89
R-30 P-3 L-9 M-98
R-27 P-1 D-1 M-99
R-31 P-2 D-5 M-88
R-30 P-3 L-9 M-98
R-27 P-1 D-1 M-99
R-32 P-2 D-4 M-92
R-32 P-2 S-45 M-47
R-30 P-3 L-9 M-98
R-27 P-1 D-1 M-99
R-33 P-2 D-4 M-51
R-33 P-3 D-1 M-99
R-34 P-1 D-1 M-100
wP-1

225
R-0 P-1 D-0 M-0
R-0 P-2 D-0 M-0
R-0 P-3 D-0 M-0
R-0 P-4 D-0 M-0
R-0 P-5 D-0 M-0
R-0 P-6 D-0 M-0
R-1 P-1 D-6 M-6
R-1 P-1 L-12 M-18
R-1 P-1 D-3 M-21
R-1 P-2 D-3 M-3
R-1 P-3 D-2 M-2
R-1 P-4 D-3 M-3
R-1 P-5 D-1 M-1
