100 2321753 1000110110110101011001
R-0 P-1 D-0 M-0
R-0 P-2 D-0 M-0
R-0 P-3 D-0 M-0
R-1 P-1 D-2 M-2
R-1 P-2 D-1 M-1
R-1 P-3 D-5 M-5
R-2 P-1 D-5 M-7
R-2 P-2 D-3 M-4
R-2 P-3 D-5 M-10
R-3 P-1 D-4 M-11
R-3 P-2 D-6 M-10
R-3 P-2 D-3 M-13
R-3 P-3 D-6 M-16
R-3 P-3 D-5 M-21
R-3 P-3 S-10 M-11
R-4 P-1 D-3 M-14
R-4 P-2 D-5 M-18
R-4 P-3 D-5 M-16
R-5 P-1 D-1 M-15
R-5 P-2 D-6 M-24
R-5 P-2 D-2 M-26
R-5 P-3 D-5 M-21
R-5 P-3 S-10 M-11
R-6 P-1 D-6 M-21
R-6 P-1 S-10 M-11
R-6 P-1 D-2 M-13
R-6 P-2 D-3 M-29
R-6 P-3 D-6 M-17
R-6 P-3 D-1 M-18
R-7 P-1 D-5 M-18
R-7 P-2 D-2 M-31
R-7 P-3 D-4 M-22
R-8 P-1 D-3 M-21
R-8 P-1 S-10 M-11
R-8 P-2 D-3 M-34
R-8 P-3 D-5 M-27
R-9 P-1 D-1 M-12
R-9 P-2 D-1 M-35
R-9 P-3 D-5 M-32
R-10 P-1 D-6 M-18
R-10 P-1 D-4 M-22
R-10 P-2 D-2 M-37
R-10 P-3 D-5 M-37
R-11 P-1 D-5 M-27
R-11 P-2 D-3 M-40
R-11 P-3 D-1 M-38
R-12 P-1 D-6 M-33
R-12 P-1 S-10 M-23
R-12 P-1 D-1 M-24
R-12 P-2 D-4 M-44
R-12 P-2 S-2 M-42
R-12 P-3 D-2 M-40
R-13 P-1 D-4 M-28
R-13 P-2 D-6 M-48
R-13 P-2 D-5 M-53
R-13 P-3 D-6 M-46
R-13 P-3 D-6 M-52
R-13 P-3 D-3 M-55
R-13 P-3 S-26 M-29
R-14 P-1 D-4 M-32
R-14 P-2 D-5 M-58
R-14 P-3 D-4 M-33
R-14 P-3 S-10 M-23
R-15 P-1 D-6 M-38
R-15 P-1 D-2 M-40
R-15 P-2 D-5 M-63
R-15 P-3 D-1 M-24
R-16 P-1 D-4 M-44
R-16 P-1 S-2 M-42
R-16 P-2 D-5 M-68
R-16 P-3 D-6 M-30
R-16 P-3 L-22 M-52
R-16 P-3 D-1 M-53
R-17 P-1 D-4 M-46
R-17 P-2 D-5 M-73
R-17 P-2 L-12 M-85
R-17 P-3 D-2 M-55
R-17 P-3 S-26 M-29
R-18 P-1 D-6 M-52
R-18 P-1 D-5 M-57
R-18 P-2 D-6 M-91
R-18 P-2 D-3 M-94
R-18 P-3 D-3 M-32
R-19 P-1 D-1 M-58
R-19 P-2 D-6 M-100
wP-2

100
R-0 P-1 D-0 M-0
R-0 P-2 D-0 M-0
R-0 P-3 D-0 M-0
R-0 P-4 D-0 M-0
R-0 P-5 D-0 M-0
R-0 P-6 D-0 M-0
R-1 P-1 D-1 M-1
R-1 P-2 D-5 M-5
R-1 P-3 D-3 M-3
R-1 P-4 D-5 M-5
R-1 P-5 D-5 M-5
R-1 P-6 D-5 M-5
R-2 P-1 D-3 M-4
R-2 P-2 D-2 M-7
R-2 P-3 D-3 M-6
R-2 P-4 D-2 M-7
R-2 P-5 D-2 M-7
R-2 P-6 D-6 M-11
R-2 P-6 D-2 M-13
R-3 P-1 D-1 M-5
R-3 P-2 D-6 M-13
R-3 P-2 D-6 M-19
R-3 P-2 D-4 M-23
R-3 P-3 D-6 M-12
R-3 P-3 D-1 M-13
R-3 P-4 D-6 M-13
R-3 P-4 D-3 M-16
R-3 P-5 D-3 M-10
R-3 P-6 D-1 M-14
R-4 P-1 D-1 M-6
R-4 P-2 D-1 M-24
R-4 P-3 D-4 M-17
R-4 P-4 D-6 M-22
R-4 P-4 D-6 M-28
R-4 P-4 D-5 M-33
R-4 P-4 S-10 M-23
R-4 P-5 D-3 M-13
R-4 P-6 D-4 M-18
R-5 P-1 D-3 M-9
R-5 P-2 D-4 M-28
R-5 P-3 D-3 M-20
R-5 P-4 D-6 M-29
R-5 P-4 D-2 M-31
R-5 P-5 D-6 M-19
R-5 P-5 D-5 M-24
R-5 P-6 D-6 M-24
R-5 P-6 D-6 M-30
R-5 P-6 L-22 M-52
R-5 P-6 D-3 M-55
R-5 P-6 S-26 M-29
R-6 P-1 D-6 M-15
R-6 P-1 D-2 M-17
R-6 P-2 D-4 M-32
R-6 P-3 D-3 M-23
R-6 P-4 D-1 M-32
R-6 P-5 D-6 M-30
R-6 P-5 L-22 M-52
R-6 P-5 D-5 M-57
R-6 P-6 D-3 M-32
R-7 P-1 D-5 M-22
R-7 P-2 D-1 M-33
R-7 P-2 S-10 M-23
R-7 P-3 D-3 M-26
R-7 P-4 D-6 M-38
R-7 P-4 D-6 M-44
R-7 P-4 S-2 M-42
R-7 P-4 D-2 M-44
R-7 P-4 S-2 M-42
R-7 P-5 D-3 M-60
R-7 P-6 D-3 M-35
R-8 P-1 D-4 M-26
R-8 P-2 D-1 M-24
R-8 P-3 D-4 M-30
R-8 P-3 L-22 M-52
